,id,_label,name,code,lineNumber,controlStructureType,ALPHA,node_label,node_content
39,5_41,LITERAL,,"""string""",5_____16.0,,ADD,"LITERAL_16.0: ""string""",literal  
40,5_42,RETURN,,return NULL;,5_____17.0,,ADD,RETURN_17.0: return NULL;,return return null  
41,5_43,IDENTIFIER,NULL,NULL,5_____17.0,,ADD,IDENTIFIER_17.0: NULL,variable NULL 
42,5_44,RETURN,,return qstring_get_str(qstr);,5_____20.0,,ADD,RETURN_20.0: return qstring_get_str(qstr);,return return qstring get str qstr   
43,5_45,CALL,qstring_get_str,qstring_get_str(qstr),5_____20.0,,ADD,CALL_20.0: qstring_get_str(qstr),funcCall qstring_get_str 
44,5_46,IDENTIFIER,qstr,qstr,5_____20.0,,ADD,IDENTIFIER_20.0: qstr,variable qstr 
45,5_47,METHOD_RETURN,,const char*,5_____1.0,,ADD,METHOD_RETURN_1.0: const char*,return const char  
105,5_110,METHOD_PARAMETER_OUT,qiv,QObjectInputVisitor *qiv,5_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: QObjectInputVisitor *qiv,variable qiv 
106,5_111,METHOD_PARAMETER_OUT,name,const char *name,5_____2.0,,ADD,METHOD_PARAMETER_OUT_2.0: const char *name,variable name 
107,5_112,METHOD_PARAMETER_OUT,errp,Error **errp,5_____3.0,,ADD,METHOD_PARAMETER_OUT_3.0: Error **errp,variable errp 
